n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_part 
  45  drift      9.74000        1.48640        0.49339        0.22519        0.22398        0.66599        0.64161        3.17322       10.85753        0.00415           0.11310             0.18771             0.22267             0.11206             0.18802             0.22930             2.41245             5.72906            13.38566          0.04032        0.29068        0.00368        0.28474        0.05638       -4.15348       -0.06621        0.10111       -0.05796        0.10096       -0.47033           8.44261              0.0        100001.0
  46  sol3d     10.14000        1.48640        0.49333        0.21402        0.21350        0.63092        0.58284        2.89426       12.81882        0.00413           0.11268             0.18818             0.23261             0.11253             0.18845             0.23067             2.41481             5.74877            13.43170          0.04701       -0.00280       -0.00504        0.36684        0.05638       -5.83872        0.27554        0.09167        0.28188        0.09135        0.05703           7.01660              0.0        100001.0
  47  drift     10.20000        1.48640        0.49336        0.21069        0.21008        0.62246        0.56975        2.91497       13.27300        0.00413           0.11268             0.18822             0.23294             0.11253             0.18853             0.23104             2.41527             5.75036            13.46689          0.04699       -0.00276       -0.00284        0.36683        0.05638       -6.09244        0.19925        0.08883        0.20512        0.08844        0.13613           7.11600              0.0        100001.0
  48  cav       10.56000        1.62217       -0.33376        0.22558        0.22482        0.66192        0.62001        2.81274       14.30246        0.00411           0.11303             0.18872             0.23127             0.11289             0.18844             0.23065             2.38640             5.39460            12.15000          0.04946        0.18628        0.00770        0.12891        0.05914       -6.48374       -0.74324        0.10650       -0.73928        0.10591       -0.40018           7.37899              0.0        100001.0
  49  drift     10.64000        1.62217       -0.33375        0.23887        0.23807        0.70366        0.66372        2.72482       13.86105        0.00410           0.11303             0.18860             0.23084             0.11289             0.18836             0.23027             2.38648             5.40359            12.19772          0.05095        0.18632        0.00873        0.12892        0.05914       -6.26137       -0.86787        0.11942       -0.86409        0.11877       -0.29015           6.92466              0.0        100001.0
  50  sol3d     11.04000        1.62217       -0.33375        0.27595        0.27657        0.83324        0.78209        2.70007       12.50481        0.00409           0.11253             0.18855             0.23452             0.11336             0.18859             0.22970             2.38621             5.39998            12.24484          0.04813       -0.14135       -0.01070        0.21378        0.05914       -5.14166       -0.04720        0.16009       -0.04409        0.15962        0.24947           6.80021              0.0        100001.0
  51  drift     11.10000        1.62217       -0.33375        0.27667        0.27727        0.83637        0.78380        2.75694       12.42573        0.00410           0.11252             0.18873             0.23416             0.11336             0.18851             0.22933             2.38608             5.39966            12.24412          0.04729       -0.14132       -0.00942        0.21377        0.05914       -4.97528       -0.09001        0.16093       -0.08697        0.16043        0.33080           7.09011              0.0        100001.0
  52  cav       11.46000        1.76696       -0.56867        0.30061        0.30152        0.88866        0.84176        2.95221       11.18166        0.00336           0.11308             0.19050             0.23346             0.11391             0.19054             0.22792             2.39431             5.34172            11.97696          0.04396        0.00439       -0.00411       -0.05435        0.06180       -3.72378       -1.05228        0.19755       -1.05415        0.19730       -0.10755           8.84611              0.0        100001.0
  53  drift     11.54000        1.76696       -0.56868        0.31371        0.31470        0.92341        0.88017        2.93754       10.66881        0.00336           0.11308             0.19041             0.23335             0.11391             0.19052             0.22789             2.39424             5.33056            11.97879          0.04400        0.00443       -0.00454       -0.05436        0.06180       -3.36229       -1.14401        0.21514       -1.14612        0.21492       -0.03053           8.75868              0.0        100001.0
  54  sol3d     11.94000        1.76696       -0.56867        0.33793        0.33912        0.96840        0.94915        3.10346        9.33005        0.00337           0.11293             0.18917             0.23182             0.11403             0.18882             0.22888             2.39377             5.33189            12.00877          0.03300       -0.23342       -0.02132        0.08031        0.06180       -1.54348        0.35407        0.24997        0.35703        0.24930        0.35301           9.77792              0.0        100001.0
